,number,name,theme,year,pieces,minifigs,availability,retired,released_date,retired_date,retail,value
125,41122-1,Adventure Camp Tree House,Friends,2016,726,3,Retail,True,2016-02-01 00:00:00,2016-11-21 00:00:00,69.99,100.73
126,41123-1,Foal's Washing Station,Friends,2016,77,1,Retail,True,2016-01-08 00:00:00,2017-11-08 00:00:00,9.99,18.44
127,41124-1,Heartlake Puppy Daycare,Friends,2016,286,2,Retail,True,2016-01-08 00:00:00,2017-11-16 00:00:00,29.99,40.68
128,41125-1,Horse Vet Trailer,Friends,2016,370,2,Retail,True,2016-01-08 00:00:00,2017-11-20 00:00:00,39.99,62.44
129,41126-1,Heartlake Riding Club,Friends,2016,575,2,Retail,True,2016-01-08 00:00:00,2017-11-27 00:00:00,64.99,162.79
130,41127-1,Amusement Park Arcade,Friends,2016,174,1,Retail,True,2016-01-08 00:00:00,2017-11-28 00:00:00,14.99,18.78
131,41128-1,Amusement Park Space Ride,Friends,2016,195,1,Retail,True,2016-01-08 00:00:00,2017-11-27 00:00:00,19.99,26.53
132,41129-1,Amusement Park Hot Dog Van,Friends,2016,243,2,Retail,True,2016-01-08 00:00:00,2017-11-26 00:00:00,26.39,31.24
133,41130-1,Amusement Park Roller Coaster,Friends,2016,1124,4,Retail,True,2016-01-08 00:00:00,2017-11-28 00:00:00,87.99,150.59
134,41131-1,Friends Advent Calendar,Friends,2016,218,2,Retail,True,2016-09-22 00:00:00,2016-11-20 00:00:00,19.99,30.84
135,41133-1,Amusement Park Bumper Cars,Friends,2016,424,2,RetailLimited,True,2016-01-08 00:00:00,2017-11-23 00:00:00,39.99,60.63
136,41134-1,Heartlake Performance School,Friends,2016,774,3,RetailLimited,True,2016-01-08 00:00:00,2017-11-12 00:00:00,79.99,124.82
137,41135-1,Livi's Pop Star House,Friends,2016,597,2,Retail,True,2016-02-01 00:00:00,2016-01-12 00:00:00,54.99,156.31
138,41140-1,Daisy's Beauty Salon,Disney Princess,2016,98,0,Retail,True,2016-02-01 00:00:00,2016-01-12 00:00:00,9.99,13.22
139,41141-1,Pumpkin's Royal Carriage,Disney Princess,2016,79,0,Retail,True,2016-02-01 00:00:00,2016-11-12 00:00:00,9.99,19.39
140,41142-1,Palace Pets Royal Castle,Disney Princess,2016,186,0,Retail,True,2016-02-01 00:00:00,2017-11-27 00:00:00,19.99,64.67
141,41171-1,Emily Jones & the Baby Wind Dragon,Elves,2016,80,1,Retail,True,2016-01-03 00:00:00,2016-11-26 00:00:00,9.99,44.57
142,41172-1,The Water Dragon Adventure,Elves,2016,212,1,Retail,True,2016-01-03 00:00:00,2017-11-28 00:00:00,24.99,87.87
