Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
852849-1,Buzz Lightyear Key Chain,Gear,Key Chains / Toy Story,2010,0,0,Retail,True,03/03/2010,31/05/2011,"3;99 €","3;99 €","21;40 €",436.38,New,,,Default,Owned,https://www.brickeconomy.com/set/852849-1/lego-buzz-lightyear-key-chain
852850-1,Jessie Key Chain,Gear,Key Chains / Toy Story,2010,0,0,Retail,True,03/03/2010,03/02/2011,"3;99 €","3;99 €","10;16 €",154.52,New,,,Default,Owned,https://www.brickeconomy.com/set/852850-1/lego-jessie-key-chain
852856-1,LEGO Club Max Key Chain,Gear,Key Chains / Miscellaneous,2010,0,0,Retail,True,03/03/2010,19/11/2011,"4;39 €","4;39 €","6;05 €",37.88,New,,,Default,Owned,https://www.brickeconomy.com/set/852856-1/lego-club-max-key-chain
852858-1,Foldable red shopping bag,Gear,Bags,2010,0,0,Retail,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","6;31 €",530.96,New,,,Default,Owned,https://www.brickeconomy.com/set/852858-1/lego-foldable-red-shopping-bag
852862-1,Firax Key Chain,Gear,Key Chains / Power Miners,2010,0,0,Retail,True,08/03/2010,23/03/2011,"4;39 €","4;39 €","7;82 €",78.16,New,,,Default,Owned,https://www.brickeconomy.com/set/852862-1/lego-firax-key-chain
852863-1,Duke Key Chain,Gear,Key Chains / Power Miners,2010,0,0,Retail,True,03/03/2010,03/02/2011,"3;99 €","3;99 €","6;79 €",70.27,New,,,Default,Owned,https://www.brickeconomy.com/set/852863-1/lego-duke-key-chain
852889-1,LEGO Rock Band Promo Key Chain Minifig 1,Gear,Key Chains / Rock Band,2010,0,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","12;74 €",1174.24,New,,,Default,Owned,https://www.brickeconomy.com/set/852889-1/lego-rock-band-promo-key-chain-minifig-1
852890-1,LEGO Rock Band Promo Key Chain Minifig 2,Gear,Key Chains / Rock Band,2010,0,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","8;79 €",779.12,New,,,Default,Owned,https://www.brickeconomy.com/set/852890-1/lego-rock-band-promo-key-chain-minifig-2
852907-1,Portal Emperor Key Chain,Gear,Key Chains / Atlantis,2010,0,1,Retail,True,04/07/2010,24/02/2011,"4;39 €","4;39 €","5;42 €",23.45,New,,,Default,Owned,https://www.brickeconomy.com/set/852907-1/lego-portal-emperor-key-chain
852911-1,Court Jester Key Chain,Gear,Key Chains / Castle,2010,0,1,Retail,True,04/06/2010,24/02/2011,"3;99 €","3;99 €","7;00 €",75.56,New,,,Default,Owned,https://www.brickeconomy.com/set/852911-1/lego-court-jester-key-chain
852912-1,Princess Key Chain,Gear,Key Chains / Castle,2010,0,1,Retail,True,28/06/2010,05/03/2011,"3;99 €","3;99 €","6;57 €",64.75,New,,,Default,Owned,https://www.brickeconomy.com/set/852912-1/lego-princess-key-chain
852914-1,"Good Knight's Armor",Gear,Role-Play Toys,2010,0,0,Retail,True,28/06/2010,03/12/2010,"17;59 €","17;59 €","17;59 €",0.00,New,,,Default,Owned,https://www.brickeconomy.com/set/852914-1/lego-good-knights-armor
852920-1,Dragon Armour,Gear,Role-Play Toys,2010,0,0,Retail,True,28/06/2010,14/01/2011,"17;59 €","17;59 €","17;59 €",0.00,New,,,Default,Owned,https://www.brickeconomy.com/set/852920-1/lego-dragon-armour
852921-1,Battle Pack,Castle,Kingdoms,2010,18,5,Retail,True,04/06/2010,03/12/2010,"12;99 €","12;99 €","87;98 €",577.31,New,,,Default,Owned,https://www.brickeconomy.com/set/852921-1/lego-kingdoms-battle-pack
852922-1,Battle Pack,Castle,Kingdoms,2010,17,5,Retail,True,07/06/2010,14/12/2010,"12;99 €","12;99 €","96;80 €",645.19,New,,,Default,Owned,https://www.brickeconomy.com/set/852922-1/lego-kingdoms-battle-pack
852939-1,Prince Dastan Key Chain,Gear,Key Chains / Prince of Persia,2010,0,0,Retail,True,12/04/2010,23/03/2011,"4;39 €","4;39 €","4;73 €",7.62,New,,,Default,Owned,https://www.brickeconomy.com/set/852939-1/lego-prince-dastan-key-chain
852940-1,Princess Tamina Key Chain,Gear,Key Chains / Prince of Persia,2010,0,0,Retail,True,12/04/2010,22/11/2010,"4;39 €","4;39 €","6;70 €",52.51,New,,,Default,Owned,https://www.brickeconomy.com/set/852940-1/lego-princess-tamina-key-chain
852941-1,Nizam Key Chain,Gear,Key Chains / Prince of Persia,2010,0,1,Retail,True,12/04/2010,18/11/2010,"4;39 €","4;39 €","7;67 €",74.75,New,,,Default,Owned,https://www.brickeconomy.com/set/852941-1/lego-nizam-key-chain
852942-1,Prince of Persia Magnet Set,Gear,Magnets / Prince of Persia,2010,0,3,Retail,True,12/04/2010,19/10/2011,"9;99 €","9;99 €","17;71 €",77.23,New,,,Default,Owned,https://www.brickeconomy.com/set/852942-1/lego-prince-of-persia-magnet-set
852944-1,Luke Skywalker,Gear,Key Chains / Star Wars,2010,0,0,Retail,True,28/06/2010,24/02/2011,"4;39 €","4;39 €","8;42 €",91.78,New,,,Default,Owned,https://www.brickeconomy.com/set/852944-1/lego-luke-skywalker-key-chain
852945-1,Kit Fisto,Gear,Key Chains / Star Wars,2010,0,1,Retail,True,24/07/2010,15/07/2011,"3;99 €","3;99 €","6;25 €",56.59,New,,,Default,Owned,https://www.brickeconomy.com/set/852945-1/lego-kit-fisto-key-chain
852946-1,Star Wars R4-P44,Gear,Key Chains / Star Wars,2010,0,0,Retail,True,28/06/2010,03/02/2011,"3;99 €","3;99 €","6;07 €",52.18,New,,,Default,Owned,https://www.brickeconomy.com/set/852946-1/lego-star-wars-r4-p44-key-chain
852947-1,Star Wars Magnet Set,Gear,Magnets / Star Wars,2010,0,3,Retail,True,04/07/2010,02/11/2011,"9;99 €","9;99 €","29;70 €",197.30,New,,,Default,Owned,https://www.brickeconomy.com/set/852947-1/lego-star-wars-magnet-set
852948-1,Female Minifigure Magnet Set,Gear,Magnets / Minifigures,2010,0,3,Retail,True,03/07/2010,11/09/2011,"9;99 €","9;99 €","23;72 €",137.40,New,,,Default,Owned,https://www.brickeconomy.com/set/852948-1/lego-female-minifigure-magnet-set
852949-1,Toy Story Magnet Set,Gear,Magnets / Toy Story,2010,0,3,Retail,True,28/02/2010,11/09/2011,"9;99 €","9;99 €","29;00 €",190.34,New,,,Default,Owned,https://www.brickeconomy.com/set/852949-1/lego-toy-story-magnet-set
852950-1,Alien Key Chain,Gear,Key Chains / Toy Story,2010,0,0,Retail,True,08/03/2010,19/11/2011,"3;99 €","3;99 €","14;63 €",266.56,New,,,Default,Owned,https://www.brickeconomy.com/set/852950-1/lego-alien-key-chain
852954-1,Harry Potter Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,02/04/2012,"3;99 €","3;99 €","11;00 €",175.69,New,,,Default,Owned,https://www.brickeconomy.com/set/852954-1/lego-harry-potter-key-chain
852955-1,Ron Weasley Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,20/01/2012,"3;99 €","3;99 €","7;27 €",82.18,New,,,Default,Owned,https://www.brickeconomy.com/set/852955-1/lego-ron-weasley-key-chain
852956-1,Hermione Granger Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,02/11/2011,"3;99 €","3;99 €","17;76 €",345.07,New,,,Default,Owned,https://www.brickeconomy.com/set/852956-1/lego-hermione-granger-key-chain
852957-1,Rebeus Hagrid Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,27/12/2011,"3;99 €","3;99 €","9;96 €",149.66,New,,,Default,Owned,https://www.brickeconomy.com/set/852957-1/lego-rebeus-hagrid-key-chain
852958-1,King Key Chain,Gear,Key Chains / Castle,2010,0,1,Retail,True,04/06/2010,03/03/2011,"3;99 €","3;99 €","6;14 €",53.94,New,,,Default,Owned,https://www.brickeconomy.com/set/852958-1/lego-king-key-chain
852979-1,Albus Dumbledore Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,24/02/2011,"3;99 €","3;99 €","8;15 €",104.23,New,,,Default,Owned,https://www.brickeconomy.com/set/852979-1/lego-albus-dumbledore-key-chain
852980-1,Severus Snape Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,03/10/2010,22/01/2011,"3;99 €","3;99 €","11;42 €",186.28,New,,,Default,Owned,https://www.brickeconomy.com/set/852980-1/lego-severus-snape-key-chain
852981-1,Dobby Key Chain,Gear,Key Chains / Harry Potter,2010,0,1,Retail,True,06/10/2010,16/03/2012,"3;99 €","3;99 €","16;72 €",319.05,New,,,Default,Owned,https://www.brickeconomy.com/set/852981-1/lego-dobby-key-chain
852982-1,Harry Potter Magnet Set,Gear,Magnets / Harry Potter,2010,0,3,Retail,True,03/10/2010,12/10/2011,"13;19 €","13;19 €","35;00 €",165.31,New,,,Default,Owned,https://www.brickeconomy.com/set/852982-1/lego-harry-potter-magnet-set
852983-1,Harry Potter Magnet Set,Gear,Magnets / Harry Potter,2010,0,3,Retail,True,03/10/2010,06/10/2011,"13;19 €","13;19 €","23;68 €",79.52,New,,,Default,Owned,https://www.brickeconomy.com/set/852983-1/lego-harry-potter-magnet-set
852984-1,Key Covers,Gear,Miscellaneous,2010,0,0,Retail,True,06/10/2010,08/12/2011,"3;51 €","3;51 €","8;93 €",154.39,New,,,Default,Owned,https://www.brickeconomy.com/set/852984-1/lego-key-covers
852985-1,Duck Key Chain,Gear,Key Chains / Animal,2010,0,0,Retail,True,06/10/2010,28/03/2012,"3;99 €","3;99 €","12;06 €",202.38,New,,,Default,Owned,https://www.brickeconomy.com/set/852985-1/lego-duck-key-chain
852986-1,Crocodile Key Chain,Gear,Key Chains / Animal,2010,0,0,Retail,True,06/10/2010,22/03/2012,"3;99 €","3;99 €","5;94 €",48.87,New,,,Default,Owned,https://www.brickeconomy.com/set/852986-1/lego-crocodile-key-chain
852987-1,Penguin Key Chain,Gear,Key Chains / Animal,2010,0,0,Retail,True,03/10/2010,16/03/2017,"4;99 €","4;99 €","10;10 €",102.45,New,,,Default,Owned,https://www.brickeconomy.com/set/852987-1/lego-penguin-key-chain
852988-1,LEGO Umbrella,Gear,Housewares,2010,0,0,Retail,True,06/10/2010,15/05/2011,"11;43 €","11;43 €","29;12 €",154.73,New,,,Default,Owned,https://www.brickeconomy.com/set/852988-1/lego-umbrella
852990-1,LEGO Logo Mug,Gear,Housewares,2010,0,0,Retail,True,22/11/2010,27/12/2011,"7;99 €","7;99 €","22;97 €",187.46,New,,,Default,Owned,https://www.brickeconomy.com/set/852990-1/lego-logo-mug
852997-1,LEGO 2011 US Calendar,Gear,Stationery,2010,0,0,Retail,True,15/10/2010,19/05/2011,"8;79 €","8;79 €","12;31 €",40.04,New,,,Default,Owned,https://www.brickeconomy.com/set/852997-1/lego-2011-us-calendar
852998-1,Birthday Party Kit,Gear,Miscellaneous,2010,0,10,Retail,True,09/08/2010,21/02/2013,"39;99 €","39;99 €","37;70 €",-5.73,New,,,Default,Owned,https://www.brickeconomy.com/set/852998-1/lego-birthday-party-kit
853036-1,LEGO Holiday Stocking,Gear,Seasonal,2010,0,0,Retail,True,22/10/2010,31/01/2011,"8;79 €","8;79 €","8;79 €",0.00,New,,,Default,Owned,https://www.brickeconomy.com/set/853036-1/lego-holiday-stocking
853037-1,Star Wars Magnet Set,Gear,Magnets / Star Wars,2010,0,3,Retail,True,06/10/2010,20/12/2011,"9;99 €","9;99 €","29;62 €",196.50,New,,,Default,Owned,https://www.brickeconomy.com/set/853037-1/lego-star-wars-magnet-set
853039-1,Clone Pilot,Gear,Key Chains / Star Wars,2010,0,0,Retail,True,06/10/2010,22/01/2011,"4;39 €","4;39 €","13;38 €",204.81,New,,,Default,Owned,https://www.brickeconomy.com/set/853039-1/lego-clone-pilot-key-chain
853040-1,Senate Commando Captain,Gear,Key Chains / Star Wars,2010,0,0,Retail,True,27/09/2010,11/01/2011,"4;39 €","4;39 €","8;77 €",99.80,New,,,Default,Owned,https://www.brickeconomy.com/set/853040-1/lego-senate-commando-captain-key-chain
853397-1,Friends Towel,Gear,Housewares,2010,0,0,Retail,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","-0;88 €",-188.00,New,,,Default,Owned,https://www.brickeconomy.com/set/853397-1/lego-friends-towel
2000401-1,Communication Kit for RTS,Serious Play,,2010,0,0,Retail,True,01/01/2010,01/01/2012,"87;99 €","87;99 €","87;99 €",0.00,New,,,Default,Owned,https://www.brickeconomy.com/set/2000401-1/lego-serious-play-communication-kit-for-rts
2000402-1,Foundation Skills Set,Serious Play,,2010,0,0,Retail,True,01/01/2010,01/01/2012,"87;99 €","87;99 €","87;99 €",0.00,New,,,Default,Owned,https://www.brickeconomy.com/set/2000402-1/lego-serious-play-foundation-skills-set
2000403-1,Landscape Supplement Kit,Serious Play,,2010,0,0,Retail,True,01/01/2010,01/01/2012,"699;99 €","699;99 €","695;19 €",-0.69,New,,,Default,Owned,https://www.brickeconomy.com/set/2000403-1/lego-serious-play-landscape-supplement-kit
2000404-1,Concept Sampler Kit,Serious Play,,2010,0,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","-0;88 €",-188.00,New,,,Default,Owned,https://www.brickeconomy.com/set/2000404-1/lego-serious-play-concept-sampler-kit
2000409-1,Window Exploration Bag,Serious Play,,2010,4900,0,Retail,True,01/01/2010,01/01/2012,"359;99 €","359;99 €","505;12 €",40.32,New,,,Default,Owned,https://www.brickeconomy.com/set/2000409-1/lego-serious-play-window-exploration-bag
2000413-1,Connections Kit,Serious Play,,2010,2455,0,Retail,True,01/01/2010,01/01/2012,"559;99 €","559;99 €","664;39 €",18.64,New,,,Default,Owned,https://www.brickeconomy.com/set/2000413-1/lego-serious-play-connections-kit
2000414-1,Starter Kit,Serious Play,,2010,214,0,Retail,True,01/01/2010,01/01/2012,"24;99 €","24;99 €","76;62 €",206.61,New,,,Default,Owned,https://www.brickeconomy.com/set/2000414-1/lego-serious-play-starter-kit
2000415-1,Identity and Landscape Kit,Serious Play,,2010,2808,0,Retail,True,01/01/2010,01/01/2012,"699;99 €","699;99 €","695;19 €",-0.69,New,,,Default,Owned,https://www.brickeconomy.com/set/2000415-1/lego-serious-play-identity-and-landscape-kit
2000418-1,Workshop Kit for Simple Machines,Serious Play,,2010,43,2,Retail,True,01/01/2010,01/01/2012,"8;79 €","8;79 €","21;07 €",139.64,New,,,Default,Owned,https://www.brickeconomy.com/set/2000418-1/lego-serious-play-workshop-kit-for-simple-machines
2000419-1,Green City Replacement Mats,Serious Play,,2010,4,0,Retail,True,01/01/2010,01/01/2012,"17;59 €","17;59 €","88;04 €",400.45,New,,,Default,Owned,https://www.brickeconomy.com/set/2000419-1/lego-serious-play-green-city-replacement-mats
2000421-1,FLL Trophy Small,Serious Play,,2010,233,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","53;13 €",5213.44,New,,,Default,Owned,https://www.brickeconomy.com/set/2000421-1/lego-serious-play-fll-trophy-small
2000422-1,FLL Trophy Medium,Serious Play,,2010,279,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","86;38 €",8538.08,New,,,Default,Owned,https://www.brickeconomy.com/set/2000422-1/lego-serious-play-fll-trophy-medium
2000423-1,FLL Trophy Large,Serious Play,,2010,439,0,Promotional,True,01/01/2010,01/01/2012,"0;00 €","0;00 €","311;64 €",31064.32,New,,,Default,Owned,https://www.brickeconomy.com/set/2000423-1/lego-serious-play-fll-trophy-large
2000426-1,LME EV3 Element Accessory Pack,Serious Play,,2010,108,0,Retail,True,01/01/2010,01/01/2012,"39;99 €","39;99 €","121;75 €",204.45,New,,,Default,Owned,https://www.brickeconomy.com/set/2000426-1/lego-serious-play-lme-ev3-element-accessory-pack
2854298-1,The Adventures of Clutch Powers DVD,Gear,Digital Media,2010,0,0,Retail,True,23/02/2010,03/12/2010,"17;59 €","17;59 €","16;88 €",-4.05,New,,,Default,Owned,https://www.brickeconomy.com/set/2854298-1/lego-the-adventures-of-clutch-powers-dvd
2855040-1,Mindstorms NXT IR Receiver,Mindstorms,NXT,2010,1,0,Retail,True,04/06/2010,06/01/2015,"44;99 €","44;99 €","65;39 €",45.35,New,,,Default,Owned,https://www.brickeconomy.com/set/2855040-1/lego-mindstorms-nxt-ir-receiver
2856076-1,LEGO Hero Rise of the Rookies DVD,Gear,Digital Media,2010,0,0,Retail,True,22/11/2010,15/06/2011,"13;19 €","13;19 €","14;40 €",9.14,New,,,Default,Owned,https://www.brickeconomy.com/set/2856076-1/lego-hero-rise-of-the-rookies-dvd
2856080-1,Storm Trooper Minifigure Clock,Gear,Watches & Clocks,2010,0,0,Retail,True,22/11/2010,22/11/2012,"29;99 €","29;99 €","32;32 €",7.78,New,,,Default,Owned,https://www.brickeconomy.com/set/2856080-1/lego-storm-trooper-minifigure-clock
2856081-1,Darth Vader Minifigure Clock,Gear,Watches & Clocks,2010,0,0,Retail,True,22/11/2010,22/11/2012,"29;99 €","29;99 €","31;87 €",6.28,New,,,Default,Owned,https://www.brickeconomy.com/set/2856081-1/lego-darth-vader-minifigure-clock
3594-1,"Bob's Workshop",Duplo,Bob the Builder,2009,14,2,Retail,True,07/05/2009,17/12/2009,"13;19 €","13;19 €","168;27 €",1175.65,New,,,Default,Owned,https://www.brickeconomy.com/set/3594-1/lego-duplo-bob-the-builder-bobs-workshop
3595-1,Scoop at Bobland Bay,Duplo,Bob the Builder,2009,28,1,Retail,True,07/05/2009,08/02/2010,"17;59 €","17;59 €","35;19 €",100.05,New,,,Default,Owned,https://www.brickeconomy.com/set/3595-1/lego-duplo-bob-the-builder-scoop-at-bobland-bay
3596-1,Muck Can Do It,Duplo,Bob the Builder,2009,39,1,Retail,True,08/06/2009,19/02/2010,"26;39 €","26;39 €","38;46 €",45.72,New,,,Default,Owned,https://www.brickeconomy.com/set/3596-1/lego-duplo-bob-the-builder-muck-can-do-it
3597-1,Lofty and Dizzy Hard At Work,Duplo,Bob the Builder,2009,51,1,Retail,True,07/05/2009,14/01/2010,"39;99 €","39;99 €","127;60 €",219.08,New,,,Default,Owned,https://www.brickeconomy.com/set/3597-1/lego-duplo-bob-the-builder-lofty-and-dizzy-hard-at-work
5486-1,Fun With Duplo Bricks,Duplo,,2009,90,0,Retail,True,30/05/2009,22/01/2011,"26;39 €","26;39 €","74;26 €",181.39,New,,,Default,Owned,https://www.brickeconomy.com/set/5486-1/lego-fun-with-duplo-bricks
5488-1,Duplo Farm Building Set,Duplo,Building Sets,2009,102,2,Retail,True,30/05/2009,22/01/2011,"39;99 €","39;99 €","152;88 €",282.30,New,,,Default,Owned,https://www.brickeconomy.com/set/5488-1/lego-duplo-farm-building-set
5586-1,Duplo Basic Bricks with Fun Figures,Duplo,,2009,50,0,Retail,True,07/03/2009,17/12/2009,"13;19 €","13;19 €","42;25 €",220.28,New,,,Default,Owned,https://www.brickeconomy.com/set/5586-1/lego-duplo-basic-bricks-with-fun-figures
5588-1,Duplo Giant Box,Duplo,Building Sets,2009,201,0,Retail,True,07/03/2009,28/06/2010,"52;79 €","52;79 €","111;94 €",112.05,New,,,Default,Owned,https://www.brickeconomy.com/set/5588-1/lego-duplo-giant-box
5592-1,My First Plane,Duplo,LEGO Ville,2009,8,2,Retail,True,04/06/2009,22/01/2011,"13;99 €","13;99 €","33;15 €",136.95,New,,,Default,Owned,https://www.brickeconomy.com/set/5592-1/duplo-lego-ville-my-first-plane
5594-1,Cargo Plane,Duplo,LEGO Ville,2009,28,2,Retail,True,30/05/2009,09/12/2010,"43;99 €","43;99 €","176;00 €",300.08,New,,,Default,Owned,https://www.brickeconomy.com/set/5594-1/duplo-lego-ville-cargo-plane
5595-1,Airport,Duplo,LEGO Ville,2009,59,4,Retail,True,03/08/2009,28/12/2010,"84;99 €","84;99 €","462;40 €",444.07,New,,,Default,Owned,https://www.brickeconomy.com/set/5595-1/duplo-lego-ville-airport
5632-1,Animal Care,Duplo,LEGO Ville,2009,4,1,Retail,True,14/05/2009,20/01/2012,"4;99 €","4;99 €","7;20 €",44.26,New,,,Default,Owned,https://www.brickeconomy.com/set/5632-1/duplo-lego-ville-animal-care
5633-1,Polar Zoo,Duplo,LEGO Ville,2009,32,1,Retail,True,08/05/2009,30/12/2010,"24;99 €","24;99 €","43;73 €",74.98,New,,,Default,Owned,https://www.brickeconomy.com/set/5633-1/duplo-lego-ville-polar-zoo
5634-1,Feeding Zoo,Duplo,LEGO Ville,2009,53,3,Retail,True,11/05/2009,25/11/2010,"54;99 €","54;99 €","264;21 €",380.47,New,,,Default,Owned,https://www.brickeconomy.com/set/5634-1/duplo-lego-ville-feeding-zoo
5635-1,Big City Zoo,Duplo,LEGO Ville,2009,125,4,Retail,True,11/05/2009,25/12/2010,"94;99 €","94;99 €","330;42 €",247.85,New,,,Default,Owned,https://www.brickeconomy.com/set/5635-1/duplo-lego-ville-big-city-zoo
5636-1,Bus,Duplo,LEGO Ville,2009,14,3,Retail,True,11/05/2009,25/12/2010,"24;99 €","24;99 €","76;15 €",204.71,New,,,Default,Owned,https://www.brickeconomy.com/set/5636-1/duplo-lego-ville-bus
5637-1,Garbage Truck,Duplo,LEGO Ville,2009,12,1,Retail,True,11/05/2009,28/11/2010,"15;99 €","15;99 €","69;19 €",332.74,New,,,Default,Owned,https://www.brickeconomy.com/set/5637-1/duplo-lego-ville-garbage-truck
5638-1,Postman,Duplo,LEGO Ville,2009,9,1,Retail,True,11/05/2009,04/01/2011,"8;79 €","8;79 €","61;60 €",600.70,New,,,Default,Owned,https://www.brickeconomy.com/set/5638-1/duplo-lego-ville-postman
5639-1,Family House,Duplo,LEGO Ville,2009,71,4,Retail,True,08/06/2009,25/12/2010,"59;99 €","59;99 €","479;68 €",699.60,New,,,Default,Owned,https://www.brickeconomy.com/set/5639-1/duplo-lego-ville-family-house
5640-1,Petrol Station,Duplo,LEGO Ville,2009,24,1,Retail,True,30/05/2009,22/01/2011,"19;99 €","19;99 €","86;64 €",333.40,New,,,Default,Owned,https://www.brickeconomy.com/set/5640-1/duplo-lego-ville-petrol-station
5641-1,Busy Garage,Duplo,LEGO Ville,2009,51,2,Retail,True,30/05/2009,22/01/2011,"39;99 €","39;99 €","136;42 €",241.13,New,,,Default,Owned,https://www.brickeconomy.com/set/5641-1/duplo-lego-ville-busy-garage
7078-1,"King's Battle Chariot",Castle,Fantasy Era,2009,103,4,Retail,True,30/05/2009,24/06/2010,"19;99 €","19;99 €","89;51 €",347.79,New,,,Default,Owned,https://www.brickeconomy.com/set/7078-1/lego-castle-kings-battle-chariot
7079-1,Drawbridge Defense,Castle,Fantasy Era,2009,335,7,Retail,True,30/05/2009,14/06/2010,"39;99 €","39;99 €","269;01 €",572.69,New,,,Default,Owned,https://www.brickeconomy.com/set/7079-1/lego-castle-drawbridge-defense
7097-1,"Trolls' Mountain Fortress",Castle,Fantasy Era,2009,844,10,Retail,True,30/05/2009,14/06/2010,"99;99 €","99;99 €","352;34 €",252.38,New,,,Default,Owned,https://www.brickeconomy.com/set/7097-1/lego-castle-trolls-mountain-fortress
7614-1,Elephant Bucket,Duplo,Building Sets,2009,49,2,Retail,True,01/01/2009,01/01/2011,"17;59 €","17;59 €","211;70 €",1103.45,New,,,Default,Owned,https://www.brickeconomy.com/set/7614-1/lego-duplo-elephant-bucket
7618-1,Fun Zoo,Duplo,,2009,115,1,Retail,True,01/01/2009,01/01/2011,"26;39 €","26;39 €","170;39 €",545.65,New,,,Default,Owned,https://www.brickeconomy.com/set/7618-1/lego-duplo-fun-zoo
7748-1,Corporate Alliance Tank Droid,Star Wars,The Clone Wars,2009,216,4,Retail,True,28/06/2009,28/11/2010,"26;99 €","26;99 €","123;45 €",357.38,New,,,Default,Owned,https://www.brickeconomy.com/set/7748-1/lego-star-wars-the-clone-wars-corporate-alliance-tank-droid
7749-1,Echo Base,Star Wars,Episode V,2009,155,5,Retail,True,28/06/2009,28/11/2010,"29;99 €","29;99 €","54;74 €",82.54,New,,,Default,Owned,https://www.brickeconomy.com/set/7749-1/lego-star-wars-echo-base
8014-1,Clone Walker Battle Pack,Star Wars,The Clone Wars,2009,72,4,Retail,True,28/12/2008,18/12/2010,"14;99 €","14;99 €","88;00 €",487.06,New,,,Default,Owned,https://www.brickeconomy.com/set/8014-1/lego-star-wars-the-clone-wars-clone-walker-battle-pack
8015-1,Assassin Droids Battle Pack,Star Wars,The Clone Wars,2009,94,5,Retail,True,28/12/2008,03/12/2010,"14;99 €","14;99 €","43;30 €",188.83,New,,,Default,Owned,https://www.brickeconomy.com/set/8015-1/lego-star-wars-the-clone-wars-assassin-droids-battle-pack
8016-1,Hyena Droid Bomber,Star Wars,The Clone Wars,2009,232,3,Retail,True,28/12/2008,03/12/2010,"26;99 €","26;99 €","110;28 €",308.60,New,,,Default,Owned,https://www.brickeconomy.com/set/8016-1/lego-star-wars-the-clone-wars-hyena-droid-bomber
8017-1,"Darth Vader's TIE Fighter",Star Wars,Episode IV,2009,251,1,Retail,True,28/12/2008,28/11/2010,"26;39 €","26;39 €","203;87 €",672.49,New,,,Default,Owned,https://www.brickeconomy.com/set/8017-1/lego-star-wars-darth-vaders-tie-fighter
8018-1,Armored Assault Tank,Star Wars,The Clone Wars,2009,407,7,Retail,True,28/12/2008,28/11/2010,"49;99 €","49;99 €","213;78 €",327.64,New,,,Default,Owned,https://www.brickeconomy.com/set/8018-1/lego-star-wars-the-clone-wars-armored-assault-tank
8019-1,Republic Attack Shuttle,Star Wars,The Clone Wars,2009,636,3,Retail,True,28/12/2008,28/11/2010,"69;99 €","69;99 €","326;48 €",366.47,New,,,Default,Owned,https://www.brickeconomy.com/set/8019-1/lego-star-wars-the-clone-wars-republic-attack-shuttle
8036-1,Separatist Shuttle,Star Wars,The Clone Wars,2009,259,5,Retail,True,28/06/2009,28/11/2010,"36;99 €","36;99 €","110;67 €",199.19,New,,,Default,Owned,https://www.brickeconomy.com/set/8036-1/lego-star-wars-the-clone-wars-separatist-shuttle
8037-1,"Anakin's Y-wing Starfighter",Star Wars,The Clone Wars,2009,570,3,Retail,True,28/06/2009,11/12/2010,"69;99 €","69;99 €","263;30 €",276.20,New,,,Default,Owned,https://www.brickeconomy.com/set/8037-1/lego-star-wars-the-clone-wars-anakins-y-wing-starfighter
8039-1,Venator-Class Republic Attack Cruiser,Star Wars,The Clone Wars,2009,1170,5,Retail,True,28/06/2009,03/12/2010,"139;99 €","139;99 €","540;96 €",286.43,New,,,Default,Owned,https://www.brickeconomy.com/set/8039-1/venator-class-republic-attack-cruiser
8547-1,Mindstorms NXT 2.0,Mindstorms,NXT 2,2009,619,0,Retail,True,01/07/2009,25/04/2013,"299;00 €","299;00 €","378;44 €",26.57,New,,,Default,Owned,https://www.brickeconomy.com/set/8547-1/lego-mindstorms-nxt-20
8866-1,Train Motor,Power Functions,Trains,2009,7,0,Retail,True,02/04/2009,01/11/2012,"12;99 €","12;99 €","28;16 €",116.78,New,,,Default,Owned,https://www.brickeconomy.com/set/8866-1/lego-power-functions-train-motor
8869-1,Polarity Switch,Power Functions,Accessories,2009,1,0,Retail,True,28/12/2008,28/12/2010,"6;69 €","6;69 €","8;76 €",31.01,New,,,Default,Owned,https://www.brickeconomy.com/set/8869-1/lego-power-functions-polarity-switch
8972-1,Atakus,Bionicle,Agori,2009,13,0,Retail,True,28/12/2008,10/02/2010,"5;99 €","5;99 €","34;92 €",482.94,New,,,Default,Owned,https://www.brickeconomy.com/set/8972-1/lego-bionicle-agori-atakus
