Number,Name,Theme,Subtheme,Year,Pieces,Minifigs,Availability,Retired,ReleasedDate,RetiredDate,Retail,Paid,Value,Growth,Condition,Date,Notes,Collection,Status,URL
10767-1,"Duke Caboom's Stunt Show",Toy Story,Toy Story 4,2019,120,2,Retail,True,22/04/2019,08/12/2020,"19;99 €","19;99 €","18;80 €",-5.97,New,,,Default,Owned,https://www.brickeconomy.com/set/10767-1/lego-toy-story-4-duke-cabooms-stunt-show
10768-1,"Buzz and Bo Peep's Playground Adventure",Toy Story,Toy Story 4,2019,139,3,Retail,True,22/04/2019,11/12/2020,"24;99 €","24;99 €","25;65 €",2.65,New,,,Default,Owned,https://www.brickeconomy.com/set/10768-1/lego-toy-story-4-buzz-and-bo-peeps-playground-adventure
10769-1,RV Vacation,Toy Story,Toy Story 4,2019,178,3,Retail,True,22/04/2019,26/11/2020,"34;99 €","34;99 €","38;14 €",9.00,New,,,Default,Owned,https://www.brickeconomy.com/set/10769-1/lego-toy-story-4-rv-vacation
10770-1,"Buzz & Woody's Carnival Mania!",Toy Story,Toy Story 4,2019,230,5,Retail,True,22/04/2019,16/02/2021,"49;99 €","49;99 €","39;60 €",-20.78,New,,,Default,Owned,https://www.brickeconomy.com/set/10770-1/lego-toy-story-4-buzz-woodys-carnival-mania
10771-1,Carnival Thrill Coaster,Toy Story,Toy Story 4,2019,98,2,Retail,True,22/04/2019,01/12/2020,"19;99 €","19;99 €","25;35 €",26.83,New,,,Default,Owned,https://www.brickeconomy.com/set/10771-1/lego-toy-story-4-carnival-thrill-coaster
21317-1,Steamboat Willie,Ideas,Licensed,2019,751,2,RetailLimited,True,01/04/2019,28/11/2020,"89;99 €","89;99 €","111;65 €",24.06,New,,,Default,Owned,https://www.brickeconomy.com/set/21317-1/lego-ideas-steamboat-willie
30365-1,Satellite,City,Space,2019,36,1,RetailLimited,True,01/06/2019,01/07/2020,"3;51 €","3;51 €","4;49 €",27.82,New,,,Default,Owned,https://www.brickeconomy.com/set/30365-1/lego-city-space-satellite
30383-1,Naboo Starfighter,Star Wars,Episode I,2019,48,0,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","5;81 €",480.80,New,,,Default,Owned,https://www.brickeconomy.com/set/30383-1/lego-star-wars-naboo-starfighter
30384-1,Snowspeeder,Star Wars,Episode V,2019,49,0,RetailLimited,True,01/01/2019,01/01/2021,"3;51 €","3;51 €","4;05 €",15.29,New,,,Default,Owned,https://www.brickeconomy.com/set/30384-1/lego-star-wars-snowspeeder
30461-1,Podracer,Star Wars,Episode I,2019,58,0,Promotional,True,01/01/2019,01/01/2021,"0;00 €","0;00 €","6;48 €",547.68,New,,,Default,Owned,https://www.brickeconomy.com/set/30461-1/lego-star-wars-podracer
40324-1,Ladybird,Promotional,Monthly Mini Model Build,2019,27,0,Promotional,True,01/04/2019,01/04/2021,"0;00 €","0;00 €","4;55 €",354.96,New,,,Default,Owned,https://www.brickeconomy.com/set/40324-1/lego-monthly-mini-model-build-ladybird
40333-1,Battle of Hoth - 20th Anniversary Edition,Star Wars,Promotional,2019,195,0,Promotional,True,04/05/2019,04/05/2019,"0;00 €","0;00 €","37;77 €",3676.96,New,,,Default,Owned,https://www.brickeconomy.com/set/40333-1/lego-star-wars-battle-of-hoth-20th-anniversary-edition
