Date,Open,High,Low,Close
2001-08-31,266.85,281.15,266.25,274.45
2001-09-30,274.45,295,270.95,293.2
2001-10-31,292.25,293.95,274.45,279.5
2001-11-30,279.5,282.25,272.15,274.4
2001-12-31,274.4,281.25,271.65,278.95
2002-01-31,278.95,289.75,277.05,282.95
2002-02-28,282.95,307.75,281.85,296.55
2002-03-31,296.55,304.77,287.95,302.5
2002-04-30,302.5,312.3,297.15,308.45
2002-05-31,308.45,329.5,306.45,326.55
2002-06-30,326.55,330.55,315.05,318.5
2002-07-31,318.5,328,301.75,304.65
2002-08-31,305.65,320.7,296.6,312.8
2002-09-30,313.2,328.5,310.35,323.7
2002-10-31,324,324.3,308.65,316.35
2002-11-30,317.35,330.6,313.35,319.05
2002-12-31,319.45,352.25,314.55,342.75
2003-01-31,343.45,375.75,337.45,367.5
2003-02-28,367.5,389.5,340.75,347.65
2003-03-31,348.35,358.55,328.75,334.85
2003-04-30,335.45,337.75,316.9,336.75
2003-05-31,337.15,377.15,337.15,361.4
2003-06-30,361.5,367.75,343.15,346
2003-07-31,346,366,339,354.75
2003-08-31,355.15,377.8,344.7,375.6
2003-09-30,376.1,400.9,367.5,388
2003-10-31,388.7,401.6,364.75,384.6
2003-11-30,385.2,404.5,374.15,398.1
2003-12-31,398.7,419.55,392.85,417.25
2004-01-31,418.05,433.15,397.8,401.3
2004-02-29,402.1,419.55,388.85,395.05
2004-03-31,395.65,425.9,386.05,423.7
2004-04-30,424.3,434.2,379.9,388.5
2004-05-31,389.1,399.1,368.4,393.6
2004-06-30,394.2,408.6,380.85,395.8
2004-07-31,396.6,407.75,383.05,387.3
2004-08-31,387.8,410.4,385.4,407.25
2004-09-30,407.75,416.05,391.85,415.65
2004-10-31,415.95,430.3,410.3,428.1
2004-11-30,429,454.9,416.9,450.9
2004-12-31,451,456.5,431.4,437.9
2005-01-31,437.9,438,416.5,421.9
2005-02-28,422.1,437.6,410.3,435.9
2005-03-31,435,447,423.1,427.9
2005-04-30,428,437.3,421.6,434.5
2005-05-31,434.5,434.6,413.5,416.4
2005-06-30,416.6,443.3,414.3,434.7
2005-07-31,434.4,436,417.7,429.7
2005-08-31,429.4,449.49,428.7,433.8
2005-09-30,434.9,475.2,434.5,468.5
2005-10-31,468.7,480.04,459.6,465.13
2005-11-30,465.4,502.31,454.8,494.2
2005-12-31,491.5,540.9,489.6,516.5
2006-01-31,516.4,572.32,516.4,570.1
2006-02-28,569.1,575.03,534.4,561.3
2006-03-31,563,588.7,533.7,580.9
2006-04-30,582.73,655.5,581.3,649.95
2006-05-31,653.55,730,635.6,644
2006-06-30,642.3,645.15,542.4,614.1
2006-07-31,617.9,676,601.9,634.4
2006-08-31,635.7,656.08,607,625.1
2006-09-30,625.95,640.1,570.75,598.6
2006-10-31,598.5,610.5,559.4,605.4
2006-11-30,606.3,648.4,605.1,646.25
2006-12-31,646.6,649.35,611.5,635.7
2007-01-31,636.2,654.7,601.9,652.1
2007-02-28,651.9,688.5,643.1,669.3
2007-03-31,673.4,677.15,632.6,663.4
2007-04-30,664.35,693.8,656.5,680.6
2007-05-31,678,690.1,651.6,660.5
2007-06-30,661.3,673.75,639.8,649.7
2007-07-31,650.85,687.05,644.9,665.95
2007-08-31,663.58,676.55,642,672.5
2007-09-30,672.4,745.5,671.3,744.8
2007-10-31,743.4,797.1,720.8,795.3
2007-11-30,797.55,845.45,772.74,784.46
2007-12-31,785.76,843.5,777,833.15
2008-01-31,833.7,933.04,833.7,925.7
2008-02-29,924.3,976,884.6,970.4
2008-03-31,976.3,1032.3,904.8,913.2
2008-04-30,915.7,952.8,862.2,866.18
2008-05-31,875.6,935.15,845.51,886.96
2008-06-30,886.85,934.93,857.55,927.4
2008-07-31,924.1,987.9,894.45,913.2
2008-08-31,913.87,916.83,772.55,830.25
2008-09-30,833.7,918.3,735.9,872.02
2008-10-31,870,931.6,681.45,724.93
2008-11-30,729.3,830.05,700.4,817.9
2008-12-31,816.26,889.68,741.8,879.05
2009-01-31,886.7,929.34,802.84,928.08
2009-02-28,926.8,1006.1,889.38,938.96
2009-03-31,948.99,966.9,883.74,922.58
2009-04-30,917.12,931.84,864.78,890.85
2009-05-31,885.5,980.17,879.9,975.92
2009-06-30,976.29,989.7,913.3,926.68
2009-07-31,927.7,958.59,904.95,953.9
2009-08-31,952.86,971.4,930.22,951.92
2009-09-30,951.65,1024,946.42,1007.9
2009-10-31,1009.7,1070.6,986.77,1041
2009-11-30,1042.4,1195.1,1042.4,1178.5
2009-12-31,1179.6,1226.2,1074.5,1096.6
2010-01-31,1095.2,1160.95,1073.28,1080.05
2010-02-28,1080.38,1130.18,1043.72,1116.85
2010-03-31,1118.6,1144.08,1084.28,1112.68
2010-04-30,1112.88,1180.78,1110.72,1178.05
2010-05-31,1179.15,1248.7,1156.97,1216.4
2010-06-30,1215.4,1264.2,1196,1241.15
2010-07-31,1241.65,1242.75,1156.6,1180.3
2010-08-31,1181.15,1248.95,1173.55,1246.7
2010-09-30,1247.25,1315.55,1236.1,1308.45
2010-10-31,1306.35,1386.95,1306.1,1359.05
2010-11-30,1363.6,1424.1,1325.35,1386.8
2010-12-31,1386.3,1430.6,1361.85,1420.55
2011-01-31,1419,1423.5,1308.26,1333
2011-02-28,1332.26,1418.2,1325.3,1410.93
2011-03-31,1411.51,1447.86,1381.26,1432
2011-04-30,1433.04,1569.41,1412.75,1563.45
2011-05-31,1566.32,1576.9,1462.65,1535.57
2011-06-30,1535.47,1558.23,1491.37,1500.6
